INFO:root:calibrating voice
INFO:calibrating voice
2022-05-18 07:06:27,773:INFO:calibrating voice
INFO:2022-05-24 03:04:53,588:root: Speaking
INFO:2022-05-24 03:04:56,646:root: Listening
INFO:2022-05-24 03:05:02,624:root: Requesting callback
INFO:2022-05-24 03:05:04,435:root: Executing command:how are you
INFO:2022-05-24 03:05:04,473:root: Getting response
INFO:2022-05-24 03:05:05,377:root: Speaking
INFO:2022-05-24 03:05:08,318:root: Listening
INFO:2022-05-24 03:05:13,833:root: Requesting callback
INFO:2022-05-24 03:05:15,687:root: Executing command:what's the time
INFO:2022-05-24 03:05:27,294:root: Speaking
INFO:2022-05-24 03:05:33,271:root: Listening
INFO:2022-05-24 03:07:08,890:root: Requesting callback
INFO:2022-05-24 03:07:17,322:root: Executing command:tell me a joke
INFO:2022-05-24 03:07:18,282:root: Speaking
INFO:2022-05-24 03:07:30,242:root: Listening
INFO:2022-05-24 03:07:54,688:root: Requesting callback
INFO:2022-05-24 03:09:38,160:root: Requesting callback
INFO:2022-05-24 03:24:14,328:root: Requesting callback
INFO:2022-05-24 03:24:25,550:root: Requesting callback
INFO:2022-05-24 03:40:49,975:root: Listening
INFO:2022-05-24 03:40:54,443:root: Requesting callback
INFO:2022-05-24 03:40:59,950:root: Requesting callback
INFO:2022-05-24 03:41:03,036:root: Requesting callback
INFO:2022-05-24 03:41:05,407:root: Requesting callback
INFO:2022-05-24 03:41:36,846:root: Requesting callback
INFO:2022-05-24 03:42:32,667:root: Requesting callback
INFO:2022-05-24 03:42:45,851:root: Requesting callback
INFO:2022-05-24 03:44:00,564:root: Listening
INFO:2022-05-24 03:44:04,174:root: Requesting callback
INFO:2022-05-24 03:44:05,403:root: Executing command:hai
INFO:2022-05-24 03:44:05,499:root: Getting response
INFO:2022-05-24 03:44:06,604:root: Speaking
INFO:2022-05-24 03:51:58,354:root: Listening
INFO:2022-05-24 03:52:02,011:root: Requesting callback
INFO:2022-05-24 03:52:03,913:root: Executing command:hi there
INFO:2022-05-24 03:52:04,004:root: Getting response
INFO:2022-05-24 03:52:04,885:root: Speaking
INFO:2022-05-24 03:52:09,302:root: Requesting callback
INFO:2022-05-24 03:52:11,500:root: Executing command:see you again
INFO:2022-05-24 03:56:57,560:root: Listening
INFO:2022-05-24 03:57:01,458:root: Requesting callback
INFO:2022-05-24 03:57:03,463:root: Executing command:hammock
INFO:2022-05-24 03:57:03,557:root: Getting response
INFO:2022-05-24 03:57:04,774:root: Speaking
INFO:2022-05-24 03:57:07,819:root: Requesting callback
INFO:2022-05-24 03:57:13,047:root: Requesting callback
INFO:2022-05-24 03:57:14,678:root: Executing command:hello
INFO:2022-05-24 03:57:14,716:root: Getting response
INFO:2022-05-24 03:57:17,124:root: Speaking
INFO:2022-05-24 03:59:57,895:root: Listening
INFO:2022-05-24 04:00:07,979:root: Requesting callback
INFO:2022-05-24 04:00:10,551:root: Executing command:hai
INFO:2022-05-24 04:00:10,643:root: Getting response
INFO:2022-05-24 04:00:15,011:root: Speaking
INFO:2022-05-24 04:00:18,260:root: Requesting callback
INFO:2022-05-24 04:00:21,187:root: Requesting callback
INFO:2022-05-24 04:00:24,252:root: Requesting callback
INFO:2022-05-24 04:00:27,295:root: Requesting callback
INFO:2022-05-24 04:00:32,588:root: Requesting callback
INFO:2022-05-24 04:00:35,422:root: Requesting callback
INFO:2022-05-24 04:00:43,131:root: Requesting callback
INFO:2022-05-24 04:01:35,458:root: Listening
INFO:2022-05-24 04:01:40,725:root: Requesting callback
INFO:2022-05-24 04:01:42,552:root: Executing command:hi hello
INFO:2022-05-24 04:01:42,647:root: Getting response
INFO:2022-05-24 04:01:47,179:root: Speaking
INFO:2022-05-24 04:03:27,507:root: Listening
INFO:2022-05-24 04:03:31,451:root: Requesting callback
INFO:2022-05-24 04:03:33,091:root: Executing command:hai
INFO:2022-05-24 04:03:33,164:root: Getting response
INFO:2022-05-24 04:03:35,528:root: Speaking
INFO:2022-05-24 04:03:38,502:root: Requesting callback
INFO:2022-05-24 04:03:48,832:root: Requesting callback
INFO:2022-05-24 04:03:51,172:root: Executing command:how are you
INFO:2022-05-24 04:03:51,209:root: Getting response
INFO:2022-05-24 04:04:00,410:root: Speaking
INFO:2022-05-28 02:38:09,246:root: Listening
INFO:2022-05-28 02:38:16,602:root: Requesting callback
INFO:2022-05-28 02:38:17,796:root: Executing command:hai
INFO:2022-05-28 02:38:17,918:root: Getting response
INFO:2022-05-28 02:38:19,685:root: Speaking
INFO:2022-05-28 02:38:28,528:root: Requesting callback
INFO:2022-05-28 02:38:29,956:root: Executing command:hello what's the time
INFO:2022-05-28 02:46:58,275:root: Listening
INFO:2022-05-28 02:47:04,675:root: Requesting callback
INFO:2022-05-28 02:47:05,332:root: Executing command:hai
